"","x"
"1567",2863
"1568",2864
"1569",2865
"1570",2866
"1571",2867
"1572",2868
"1573",2869
"1574",2870
"1575",2871
"1576",2872
"1577",2873
"1578",2874
"1579",2875
"1580",2876
"1581",2894
"1582",2895
"1583",2896
"1584",2897
"1585",2898
"1586",2899
"1587",2900
"1588",2901
"1589",2902
"1590",2903
"1591",2904
"1592",2905
"1593",2906
"1594",2907
"1595",2925
"1596",2926
"1597",2927
"1598",2928
"1599",2929
"1600",2930
"1601",2931
"1602",2932
"1603",2933
"1604",2934
"1605",2935
"1606",2936
"1607",2937
"1608",2955
"1609",2956
"1610",2957
"1611",2958
"1612",2959
"1613",2960
"1614",2961
"1615",2962
"1616",2963
"1617",2964
"1618",2965
"1619",2966
"1620",2985
"1621",2986
"1622",2987
"1623",2988
"1624",2989
"1625",2990
"1626",2991
"1627",2992
"1628",2993
"1629",2994
"1630",3012
"1631",3013
"1632",3014
"1633",3015
"1634",3016
"1635",3017
"1636",3018
"1637",3019
"1638",3020
"1639",3021
"1640",3040
"1641",3041
"1642",3042
"1643",3043
"1644",3044
"1645",3045
"1646",3046
"1647",3047
"1648",3066
"1649",3067
"1650",3068
"1651",3069
"1652",3070
"1653",3071
"1654",3072
"1655",3091
"1656",3092
"1657",3093
"1658",3094
"1659",3095
"1660",3096
"1661",3115
"1662",3116
"1663",3117
"1664",3118
"1665",3119
"1666",3138
"1667",3139
"1668",3140
"1669",3141
"1670",3159
"1671",3160
"1672",3161
"1673",3162
"1674",3180
"1675",3181
"1676",3182
"1677",3200
"1678",3201
"1679",3218
"1680",3219
"1681",3373
"1682",3374
"1683",3375
"1684",3376
"1685",3377
"1686",3378
"1687",3379
"1688",3380
"1689",3381
"1690",3382
"1691",3383
"1692",3384
"1693",3385
"1694",3386
"1695",3387
"1696",3388
"1697",3389
"1698",3390
"1699",3391
"1700",3392
"1701",3393
"1702",3394
"1703",3395
"1704",3396
"1705",3397
"1706",3398
"1707",3399
"1708",3400
"1709",3401
"1710",3402
"1711",3403
"1712",3404
"1713",3405
"1714",3406
"1715",3407
"1716",3408
"1717",3409
"1718",3410
"1719",3411
"1720",3412
"1721",3413
"1722",3414
"1723",3415
"1724",3416
"1725",3417
"1726",3418
"1727",3419
"1728",3420
"1729",3421
"1730",3422
"1731",3423
"1732",3424
"1733",3425
"1734",3426
"1735",3427
"1736",3428
"1737",3429
"1738",3430
"1739",3431
"1740",3432
"1741",3433
"1742",3434
"1743",3435
"1744",3436
"1745",3437
"1746",3438
"1747",3439
"1748",3440
"1749",3441
"1750",3442
"1751",3443
"1752",3444
"1753",3445
"1754",3446
"1755",3447
"1756",3448
"1757",3449
"1758",3450
"1759",3451
"1760",3452
"1761",3453
"1762",3454
"1763",3455
"1764",3456
"1765",3457
"1766",3458
"1767",3459
"1768",3460
"1769",3461
"1770",3462
"1771",3463
"1772",3464
"1773",3465
"1774",3466
"1775",3467
"1776",3468
"1777",3469
"1778",3470
"1779",3471
"1780",3472
"1781",3473
"1782",3474
"1783",3475
"1784",3476
"1785",3477
"1786",3478
"1787",3479
"1788",3480
"1789",3481
"1790",3482
"1791",3483
"1792",3484
"1793",3485
"1794",3486
"1795",3487
"1796",3488
"1797",3489
"1798",3490
"1799",3491
"1800",3492
"1801",3493
"1802",3494
"1803",3495
"1804",3496
"1805",3497
"1806",3498
"1807",3499
"1808",3500
"1809",3501
"1810",3502
"1811",3503
"1812",3504
"1813",3505
"1814",3506
"1815",3507
"1816",3508
"1817",3509
"1818",3510
"1819",3511
"1820",3512
"1821",3513
"1822",3514
"1823",3515
"1824",3516
"1825",3517
"1826",3518
"1827",3519
"1828",3520
"1829",3521
"1830",3522
"1831",3523
"1832",3524
"1833",3525
"1834",3526
"1835",3527
"1836",3528
"1837",3529
"1838",3530
"1839",3531
"1840",3532
"1841",3533
"1842",3534
"1843",3535
"1844",3536
"1845",3537
"1846",3538
"1847",3539
"1848",3540
"1849",3541
"1850",3542
"1851",3543
"1852",3544
"1853",3545
"1854",3546
"1855",3547
"1856",3548
"1857",3549
"1858",3550
"1859",3551
"1860",3552
"1861",3553
"1862",3554
"1863",3555
"1864",3556
"1865",3557
"1866",3558
"1867",3559
"1868",3560
"1869",3561
"1870",3562
"1871",3563
"1872",3564
"1873",3565
"1874",3566
"1875",3567
"1876",3568
"1877",3569
"1878",3570
"1879",3571
"1880",3572
"1881",3573
"1882",3574
"1883",3575
"1884",3576
"1885",3577
"1886",3578
"1887",3579
"1888",3580
"1889",3581
"1890",3582
"1891",3583
"1892",3584
"1893",3585
"1894",3586
"1895",3587
"1896",3588
"1897",3589
"1898",3590
"1899",3591
"1900",3592
"1901",3593
"1902",3594
"1903",3595
"1904",3596
"1905",3597
"1906",3598
"1907",3599
"1908",3600
"1909",3601
"1910",3602
"1911",3603
"1912",3604
"1913",3605
"1914",3606
"1915",3607
"1916",3608
"1917",3609
"1918",3610
"1919",3611
"1920",3612
"1921",3613
"1922",3614
"1923",3615
"1924",3616
"1925",3617
"1926",3618
"1927",3619
"1928",3620
"1929",3621
"1930",3622
"1931",3623
"1932",3624
"1933",3625
"1934",3626
"1935",3627
"1936",3628
"1937",3629
"1938",3630
"1939",3631
"1940",3632
"1941",3633
"1942",3634
"1943",3635
"1944",3636
"1945",3637
"1946",3638
"1947",3639
"1948",3640
"1949",3641
"1950",3642
"1951",3643
"1952",3644
"1953",3645
"1954",3646
"1955",3647
"1956",3648
"1957",3649
"1958",3650
"1959",3651
"1960",3652
"1961",3653
"1962",3654
"1963",3655
"1964",3656
"1965",3657
"1966",3658
"1967",3659
"1968",3660
"1969",3661
"1970",3662
"1971",3663
"1972",3664
"1973",3665
"1974",3666
"1975",3667
"1976",3668
"1977",3669
"1978",3670
"1979",3671
"1980",3672
"1981",3673
"1982",3674
"1983",3675
"1984",3676
"1985",3677
"1986",3678
"1987",3679
"1988",3680
"1989",3681
"1990",3682
"1991",3683
"1992",3684
"1993",3685
"1994",3686
